@relation train-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R6

@attribute pclass numeric
@attribute sex numeric
@attribute age numeric
@attribute sibsp numeric
@attribute fare numeric
@attribute survived {0,1}

@data
1,1,0.271174,0.125,0.014151,0
0,0,0.472229,0.125,0.139136,1
1,0,0.321438,0,0.015469,1
0,0,0.434531,0.125,0.103644,1
1,1,0.434531,0,0.015713,0
1,1,0.371701,0,0.01651,0
0,1,0.673285,0,0.101229,0
1,1,0.019854,0.375,0.041136,0
1,0,0.334004,0,0.021731,1
0.5,0,0.170646,0.125,0.058694,1
1,0,0.044986,0.125,0.032596,1
0,0,0.723549,0,0.051822,1
1,1,0.246042,0,0.015713,0
1,1,0.484795,0.125,0.061045,0
1,0,0.170646,0,0.01533,0
0.5,0,0.685851,0,0.03123,1
1,1,0.019854,0.5,0.056848,0
0.5,1,0.371701,0,0.025374,1
1,0,0.384267,0.125,0.035134,0
1,0,0.371701,0,0.014102,1
0.5,1,0.434531,0,0.050749,0
0.5,1,0.421965,0,0.025374,1
1,0,0.183212,0,0.015672,1
0,1,0.346569,0,0.069291,1
1,0,0.09525,0.375,0.041136,0
1,0,0.472229,0.125,0.061264,1
1,1,0.371701,0,0.014102,0
0,1,0.233476,0.375,0.513342,0
1,0,0.371701,0,0.015379,1
1,1,0.371701,0,0.015412,0
0,1,0.497361,0,0.054107,0
0,0,0.371701,0.125,0.28599,1
1,0,0.371701,0,0.015127,1
0.5,1,0.824076,0,0.020495,0
0,1,0.346569,0.125,0.160387,0
0,1,0.522493,0.125,0.101497,0
1,1,0.371701,0,0.01411,1
1,1,0.258608,0,0.015713,0
1,0,0.22091,0.25,0.035134,0
1,0,0.170646,0.125,0.021942,1
1,0,0.497361,0.125,0.018494,0
0.5,0,0.334004,0.125,0.040989,0
1,1,0.371701,0,0.015412,0
0.5,0,0.03242,0.125,0.081157,1
1,0,0.233476,0,0.015379,1
1,1,0.371701,0,0.015713,0
1,1,0.371701,0.125,0.030254,0
1,0,0.371701,0,0.015127,1
1,1,0.371701,0.25,0.042315,0
1,0,0.22091,0.125,0.034743,0
1,1,0.082684,0.5,0.077465,0
1,1,0.258608,0,0.015225,0
0,0,0.610455,0.125,0.149765,1
0.5,0,0.359135,0.125,0.050749,1
0,1,0.81151,0,0.120975,0
0,1,0.371701,0,0.069291,1
0.5,0,0.258608,0,0.020495,1
1,1,0.352852,0,0.01411,0
0.5,0,0.057552,0.125,0.054164,1
1,1,0.132948,0.625,0.091543,0
1,1,0.271174,0,0.01411,0
0,0,0.472229,0,0.15615,1
0,1,0.560191,0.125,0.162932,0
1,1,0.044986,0.375,0.054457,0
0,1,0.371701,0,0.054107,0
1,1,0.371701,0.125,0.029758,1
0.5,0,0.359135,0,0.020495,1
1,1,0.233476,0,0.015924,0
1,0,0.208344,0.5,0.015469,1
1,1,0.321438,0.25,0.016908,0
0.5,1,0.396833,0,0.020495,0
1,0,0.195778,0.625,0.091543,0
0.5,1,0.258608,0,0.143462,0
1,1,0.321438,0.125,0.028213,0
1,1,0.396833,0,0.110272,1
1,1,0.308872,0,0.014932,0
1,1,0.371701,0,0.015412,0
1,1,0.371701,0,0.015713,0
0.5,1,0.005152,0,0.056604,1
1,0,0.371701,0,0.02435,1
1,1,0.271174,0,0.017567,0
1,1,0.359135,0,0.018543,1
1,0,0.371701,0,0.0152,1
0,1,0.346569,0,0.091933,0
0.5,0,0.208344,0,0.020495,1
1,0,0.409399,0.375,0.030937,1
1,1,0.195778,0.125,0.067096,0
1,1,0.371701,0,0.015713,0
0,0,0.28374,0.375,0.513342,1
1,1,0.296306,0,0.015713,0
1,1,0.359135,0,0.015713,0
1,1,0.246042,0,0.01533,0
0,1,0.572757,0.125,0.119406,0
1,1,0.321438,0.125,0.04016,0
1,1,0.736115,0,0.014151,0
1,1,0.371701,0,0.015713,0
0,1,0.886906,0,0.06764,0
0,1,0.28374,0,0.123667,1
0.5,0,0.421965,0,0.044893,1
0.5,1,0.421965,0.125,0.050749,0
1,0,0.346569,0,0.015412,0
1,1,0.371701,0,0.015412,0
0,1,0.258608,0,0.150855,0
1,1,0.409399,0,0.016892,0
1,1,0.459663,0.25,0.015469,0
1,1,0.346569,0,0.015412,0
1,0,0.258608,0,0.014932,1
1,1,0.371701,0,0.015176,1
1,1,0.472229,0,0.015412,0
1,0,0.371701,0.125,0.047138,1
0,1,0.585323,0,0.101497,0
1,0,0.176929,0.125,0.028213,0
1,1,0.271174,0,0.015713,0
1,0,0.246042,0.125,0.019177,0
1,0,0.208344,0,0.028221,0
1,1,0.258608,0,0.015469,0
1,1,0.880623,0,0.015127,0
0.5,1,0.359135,0.125,0.040989,0
0,1,0.296306,0,0.483128,0
1,0,0.019854,0.5,0.061045,0
0.5,1,0.258608,0.25,0.143462,0
1,1,0.371701,0,0.015713,0
0.5,1,0.403116,0.125,0.058694,0
